,Año,Trimestre,Provincia,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
0,2022,3,Buenos Aires,78.11,339648,2748325,1436433,126846,70416,70,29985,27709,290315,297915,267044,12419,3618689,65821
1,2022,3,Capital Federal,49.06575,140791,1240125,129218,5758,31787,101,5170,5742,34371,67829,51946,28692,1253105,105477
2,2022,3,Catamarca,65.33,10010,10495,46224,1329,2235,61,710,3840,3107,5389,5099,3737,50298,2208
3,2022,3,Chaco,43.86,27164,61800,44645,8178,2359,53,4610,9870,16782,18938,8049,15828,79390,3711
4,2022,3,Chubut,84.38,45377,72212,9574,29784,8831,16,1090,1444,45707,3094,34682,15309,17563,20024
5,2022,3,Córdoba,88.31,163770,465461,338570,6107,9797,56,990,11312,153324,111615,70989,27112,650344,13873
6,2022,3,Corrientes,48.21,36508,77140,18619,7256,5323,45,670,3865,23427,23948,7776,21706,56950,7107
7,2022,3,Entre Ríos,63.67,60345,132952,36971,26098,12593,42,1070,5549,47210,46855,18263,32021,102195,16759
8,2022,3,Formosa,43.76,14470,25880,11041,16935,2120,30,970,3070,23538,19545,6194,5640,17704,5890
9,2022,3,Jujuy,58.91,19257,52978,40172,4033,2383,32,580,1879,19135,15254,36083,5190,45895,0
10,2022,3,La Pampa,96.59,7796,60078,23551,20216,4451,18,680,1887,61540,9653,11592,5609,22731,3012
11,2022,3,La Rioja,80.66,6842,53899,19697,6395,310,44,180,6890,2842,3375,24219,5331,50390,0
12,2022,3,Mendoza,51.03,37659,78858,142615,27625,2766,34,1030,2953,44232,21977,48201,17243,150043,4771
13,2022,3,Misiones,51.82,35513,88902,39046,11074,7622,49,510,3749,36628,20758,12676,19615,80330,835
14,2022,3,Neuquén,80.37,29352,75815,29396,27482,1116,48,1340,9910,38485,1408,92,67,78713,14858
15,2022,3,Río Negro,67.98,35552,48260,41017,1676,18969,34,1110,1221,32936,1786,27934,13629,42596,24271
16,2022,3,Salta,57.76,40006,96984,50254,10082,7215,41,1140,149,32923,71199,5662,1001,85661,6491
17,2022,3,San Juan,50.8,38570,22723,12328,2186,7918,16,240,2027,30324,11247,22157,678,19221,11619
18,2022,3,San Luis,81.74,6860,29363,248,70614,14985,19,600,3070,6563,20813,12061,67438,13,14815
19,2022,3,Santa Cruz,43.19,10170,24047,10815,3896,5820,13,520,6841,12342,11313,11378,2333,4604,6470
20,2022,3,Santa Fe,78.55,183740,426255,215189,43079,19547,45,4680,11132,132709,198588,70897,57455,396352,20209
21,2022,3,Santiago Del Estero,47.98,15385,80937,13170,6618,2922,18,1780,1384,28357,58982,16087,9100,12342,7920
22,2022,3,Tierra Del Fuego,99.51,12754,39963,403,1250,6510,11,220,8310,12002,14815,20102,1752,1021,3351
23,2022,3,Tucumán,61.14,77738,18518,162345,3997,5190,53,390,2047,32571,39018,25214,4348,159600,2800
24,2022,2,Buenos Aires,77.58,350652,2719613,1399043,126847,71028,66,30639,28323,295238,307554,273954,129869,3535757,65849
25,2022,2,Capital Federal,49.06575,145491,1232226,121506,5757,31791,94,5170,598,36036,72434,55372,31571,1229254,105607
26,2022,2,Catamarca,62.4,11928,9430,42087,1329,2234,57,710,4130,3678,6155,7165,3393,43926,2207
27,2022,2,Chaco,43.79,29552,61284,42194,8178,2356,51,4610,1047,17603,20109,8391,15974,76271,3708
28,2022,2,Chubut,83.19,45377,69242,9574,29784,8828,15,1090,1444,45804,31217,3429,14526,15394,20021
29,2022,2,Córdoba,87.48,179181,467595,308895,61107,9657,54,990,11971,160486,120485,71923,28645,619400,13426
30,2022,2,Corrientes,48.35,38468,75769,18181,7256,5323,43,670,3937,24253,24842,8001,21719,55071,7107
31,2022,2,Entre Ríos,63.9,63794,131029,35839,26098,12592,40,1070,5656,48637,48557,18512,32355,98769,16759
32,2022,2,Formosa,43.42,15397,25487,9875,1691,2120,28,970,4070,23834,19706,633,5910,16326,5900
33,2022,2,Jujuy,57.32,20303,54495,34184,3955,2377,29,580,1829,19458,1579,37786,5490,37391,2453
34,2022,2,La Pampa,92.98,7796,59273,22994,202,1264,16,680,1887,62546,9842,118,5247,17125,3012
35,2022,2,La Rioja,80.14,7759,52656,19189,6395,310,43,180,7280,3179,389,23814,5481,48920,0
36,2022,2,Mendoza,49.39,37663,77504,135504,26964,1927,30,1030,2954,44961,22557,64138,19543,121366,394
37,2022,2,Misiones,51.0,37208,89260,33649,11074,7622,46,510,3808,37254,21712,12774,19757,75107,835
38,2022,2,Neuquén,80.02,29749,74905,28824,27371,1119,47,1340,9990,38826,15066,9205,2039,76982,18717
39,2022,2,Río Negro,67.85,36050,47040,40946,1676,18968,33,1110,1227,33364,17938,27168,13714,41972,2427
40,2022,2,Salta,57.54,42665,96178,47076,10068,719,39,1140,153,33732,72661,6012,1156,81478,6494
41,2022,2,San Juan,49.46,38570,19734,12328,21859,7916,14,240,2027,30385,11276,24649,3728,16701,11617
42,2022,2,San Luis,81.76,6860,29034,248,70614,14985,19,600,3060,6840,21217,11052,67438,13,14815
43,2022,2,Santa Cruz,43.15,10170,23725,10815,3896,5790,12,520,6841,12348,11369,11885,2454,3592,6440
44,2022,2,Santa Fe,77.9,198492,428233,189503,43081,1955,42,4680,11757,138534,204381,74133,58114,373888,17584
45,2022,2,Santiago Del Estero,47.7,16561,80338,11605,6618,2922,16,1780,1401,29581,59931,14606,8830,10672,7920
46,2022,2,Tierra Del Fuego,99.86,12754,39837,403,1250,6510,11,220,8310,12052,14828,19968,1712,1006,3351
47,2022,2,Tucumán,59.31,85893,15327,148823,3997,4870,50,390,2195,34461,43513,23634,4863,145541,2810
48,2022,1,Buenos Aires,76.08,392045,2728865,1242121,125521,66872,63,31591,30056,313382,321756,290127,161183,3381049,2628
49,2022,1,Capital Federal,49.06575,102290,1217225,62308,5784,29934,88,5270,5575,39918,7739,61053,43289,1188072,1717
50,2022,1,Catamarca,58.21,14181,15517,29118,1328,2234,51,710,4560,4386,7009,8773,3761,35715,2207
51,2022,1,Chaco,44.06,32391,64546,36662,8164,2356,46,4610,1099,16888,21235,20898,13012,62946,758
52,2022,1,Chubut,88.05,44133,66667,9184,30592,21052,13,1130,1677,61369,31856,3308,13871,14055,15607
53,2022,1,Córdoba,85.76,195610,501799,235838,60843,9713,50,1000,12782,165922,126009,73967,34892,577027,13104
54,2022,1,Corrientes,47.64,40462,79093,10875,6774,5374,38,670,4029,24563,25665,27077,10452,43631,7094
55,2022,1,Entre Ríos,63.7,67159,138986,23091,26098,12592,36,1070,5745,50075,4962,42294,21578,81757,1675
56,2022,1,Formosa,34.96,16397,15927,5146,16876,2020,30,970,4480,24113,6945,6613,7160,15028,5880
57,2022,1,Jujuy,58.06,21307,60616,25949,4662,3975,28,580,1761,22141,16321,37923,5760,35287,2442
58,2022,1,La Pampa,91.66,8003,58978,21739,19903,1109,15,3010,2223,62812,9869,12044,525,14400,2833
59,2022,1,La Rioja,78.77,9103,59228,9546,6395,310,41,180,7780,3576,4692,23624,5645,45970,0
60,2022,1,Mendoza,48.74,49464,74145,123228,26969,1379,26,1140,3355,51230,26407,74178,21566,95048,3287
61,2022,1,Misiones,49.04,39147,91752,25178,7807,7624,42,510,3873,35655,22261,26855,15854,58610,8349
62,2022,1,Neuquén,74.17,28443,73200,24193,23098,7450,43,1370,1123,39856,15623,11163,2654,71238,7885
63,2022,1,Río Negro,67.04,38662,45366,38037,16815,18494,31,1160,1383,35565,18859,26926,14144,37729,22652
64,2022,1,Salta,56.11,44714,98667,40994,595,719,37,1140,1725,35576,68246,6313,2214,76838,6489
65,2022,1,San Juan,43.55,34038,14449,11294,20723,7674,12,260,2269,32356,11914,25144,2088,11916,2465
